,dataset,Unnamed: 0,CARD,cell2location,DeconRNASeq,DestVI,DWLS,SVR,RCTD,SCDC,SPOTlight,STdeconvolve,SpatialDWLS
0,b78ba209152da0bcf71ec2356d867145_Lafyatis_Rojas_2019_starmap_groups_rmse,A,0.0618125607544574,0.1162947095636564,0.0653543119093983,0.3463812886371905,0.0107873525945115,0.0514255653425369,0.0080146293733741,0.0443813640172953,0.2984084220931625,0.3973339269236373,0.25
1,b78ba209152da0bcf71ec2356d867145_Lafyatis_Rojas_2019_starmap_groups_rmse,C,0.067958940489758,0.0972852934115782,0.2011363292719568,0.0349437836695229,0.0242162228367205,0.1963417988917224,0.0501425293648941,0.1252721923946862,0.2229712477490079,0.5,0.0281238803520642
2,b78ba209152da0bcf71ec2356d867145_Lafyatis_Rojas_2019_starmap_groups_rmse,D,0.0213094258403031,0.0106675874901109,0.0446671403571728,0.0197084102392639,0.0125540643731936,0.0006523369970516,0.0156381936283455,0.0012546930835282,0.1955470316575046,0.0,0.25
3,b78ba209152da0bcf71ec2356d867145_Lafyatis_Rojas_2019_starmap_groups_rmse,B,0.0800160941776175,0.0663148686032048,0.033168154424409,0.1674662964253793,0.0078652036675524,0.016710318099435,0.0329763419539727,0.0101749971104072,0.2033390335440255,0.0,0.226991801615475
4,b78ba209152da0bcf71ec2356d867145_Meyer_2019_starmap_groups_rmse,A,0.0779876951019684,0.2246907661698206,0.0247660706312567,0.2245936307698944,0.0014771828261765,0.0045312447927845,0.0278350706128414,0.041795746376145,0.2916228733442928,0.2089214312783916,0.2268660900759119
5,b78ba209152da0bcf71ec2356d867145_Meyer_2019_starmap_groups_rmse,C,0.0139370845260348,0.0031012665489784,0.0523340272008986,0.0154084290270213,4.103603916846053e-05,0.0014380897109321,0.0090923293929627,0.0198062698630615,0.1254769912965106,0.0,0.25
6,b78ba209152da0bcf71ec2356d867145_Meyer_2019_starmap_groups_rmse,D,0.0193485899458263,0.0054985611894669,0.0195326600457134,0.1111270285431382,0.0015984833497098,0.0041427414774203,0.0128708843047223,0.0286004336272639,0.1668352967161025,0.0,0.25
7,b78ba209152da0bcf71ec2356d867145_Meyer_2019_starmap_groups_rmse,B,0.0729124709357851,0.0992403214429576,0.0084685344397562,0.0760067009975188,0.0121838648711295,0.0126651533549057,0.0376917586125849,0.0275929586222037,0.1817121409950254,0.5,0.0135970843913484
8,b78ba209152da0bcf71ec2356d867145_Teichmann_Meyer_2019_starmap_groups_rmse,A,0.0834536688815514,0.2561437313481065,0.0236851165423107,0.3894719779410822,0.0064096915453344,0.0033856161801122,0.0179072506733727,0.0639380713036014,0.2698327352256744,0.2141264488544045,0.2003149560113617
9,b78ba209152da0bcf71ec2356d867145_Teichmann_Meyer_2019_starmap_groups_rmse,C,0.1029185265239739,0.2631100639819594,0.1705517834542765,0.3981845726101897,0.0342277641925112,0.0633004116718093,0.1734097544365757,0.2392640762569273,0.2677287124809044,0.5,0.0203334128734694
10,b78ba209152da0bcf71ec2356d867145_Teichmann_Meyer_2019_starmap_groups_rmse,D,0.0067096613889486,0.0332971962533193,0.0392979100127596,0.3729044571608865,0.0056236519316843,0.011115574226681,0.0185104824345987,0.0218268764681218,0.1942621345751368,0.0,0.25
11,b78ba209152da0bcf71ec2356d867145_Teichmann_Meyer_2019_starmap_groups_rmse,B,0.0737246495600742,0.1150683486761061,0.0409422893649273,0.3907116583528864,0.0122790922360351,0.0,0.0557291767518777,0.045008132917993,0.154041166657292,0.0,0.2269841686863219
12,b78ba209152da0bcf71ec2356d867145_Banovich_Kropski_2020_starmap_groups_rmse,A,0.0447487576511703,0.0302867141858808,0.1048635063081758,0.1125584826222567,0.0012989385283987,0.0853498560951573,0.0047696726619598,0.0333165006571974,0.2694848700955444,0.2075559780047375,0.1977524105504757
13,b78ba209152da0bcf71ec2356d867145_Banovich_Kropski_2020_starmap_groups_rmse,C,0.1180535777591379,0.1543561674410926,0.2070856259988828,0.0722129991094524,0.1261677985044642,0.2450246018796773,0.0778378953586511,0.225917390698145,0.2578570980502733,0.5,0.092674688961661
14,b78ba209152da0bcf71ec2356d867145_Banovich_Kropski_2020_starmap_groups_rmse,D,0.0224859157562984,0.0110983692030501,0.0720551585428789,0.0809804815376258,0.0094928443543625,0.0124357674339735,0.017369021546722,0.0011254919744266,0.1564172161973278,0.0,0.25
15,b78ba209152da0bcf71ec2356d867145_Banovich_Kropski_2020_starmap_groups_rmse,B,0.0515526569260948,0.014997977548425,0.0440215642320321,0.120426198024639,0.0034010088451982,0.0257466324828459,0.0097200513620509,0.0021785038030894,0.1452587168615865,0.0,0.2270815762631363
16,b78ba209152da0bcf71ec2356d867145_Atlas_starmap_groups_rmse,A,0.0355311773592508,0.0091563533213104,0.0766816625227233,0.0994441221107909,0.0005536225989272,0.052621745939292,0.0026501299735995,0.0217407510252872,0.2665988979236935,0.2106871161959459,0.2354728934557701
17,b78ba209152da0bcf71ec2356d867145_Atlas_starmap_groups_rmse,C,0.0982205205401429,0.1351369858578637,0.194511836299658,0.1286421061855551,0.0166097864325688,0.2316728710933076,0.0663874400744707,0.2219561727656409,0.2479576905384107,0.5,0.0228835688066236
18,b78ba209152da0bcf71ec2356d867145_Atlas_starmap_groups_rmse,D,0.0168474526414644,0.0081415384678002,0.0696915666503743,0.0394374401479373,0.009190596336975,0.0008534905511871,0.0135980274028987,0.0002203176929401,0.1496270353492508,0.0,0.25
19,b78ba209152da0bcf71ec2356d867145_Atlas_starmap_groups_rmse,B,0.0522945523137353,0.008335114874249,0.0543969878999797,0.1083826288023706,0.0027177585449623,0.0121709980127258,0.008985528866944,0.0002454882659603,0.1696401650691946,0.0,0.227168844977837
