,dataset,Unnamed: 0,CARD,cell2location,DeconRNASeq,DestVI,DWLS,SVR,RCTD,SCDC,SPOTlight,STdeconvolve
0,49db3a23106485d79a11c5f9ec2be108_starmap_overall_rmse,0,0.0705936106835323,0.021060239118967,0.0594439579343281,0.0815033027990438,0.0025469545142482,0.0052078895174063,0.0024087529122411,0.0194420451922759,0.3655021139606466,0.3039949679694492
1,94a0d58229d38a8cfe6af48f0bc9ffe7_starmap_overall_rmse,0,0.0757640943218552,0.022489066951423,0.0559357183669415,0.0758718113638352,0.0007191971323439,0.0087743391112337,0.0014427275270193,0.0233962874901386,0.3567541796988492,0.1676149405860788
2,24d8649ad90c3e20cc02ad42f5246bd1_starmap_overall_rmse,0,0.0836820219505138,0.0264382178383959,0.0527486763471537,0.0740214443130526,0.0026981431298434,0.010810537301639,0.0028451364437181,0.0598296285386064,0.3382450758082692,0.287932506206578
3,8dbc6acb6712fee359bf3afe1857c536_starmap_overall_rmse,0,0.0773338761978464,0.0247012779100837,0.0554784557686383,0.0877887700436812,0.0016915118142172,0.008890779356057,0.0024875473117235,0.0541741653321364,0.3524651494023364,0.289911568384928
4,dcc01a2a5f65d552a54ee0d1f8863acc_starmap_overall_rmse,0,0.0754668513137309,0.0302874842007628,0.0565024822454953,0.0829155668276457,0.0017496636440669,0.0089337387957212,0.0027530393496807,0.0495591206905367,0.3533000222321238,0.3259077848074083
5,24bc51ffa07c227a8aaab7f616fa7166_starmap_overall_rmse,0,0.0735298693697122,0.0284719812662719,0.0589345287283745,0.0644615614132425,0.0019033248856596,0.007792160239906,0.0027158519186057,0.0424758161114797,0.3581826546294887,0.3307791249649928
6,c456392019d1940e7e699a14aec5bcf6_starmap_overall_rmse,0,0.0726993273189712,0.0198133957122984,0.0581916246198405,0.1096328306256548,0.0003836683485349,0.0046979011363397,0.0017366413784303,0.0308184921261157,0.3692929818425109,0.266038065814898
7,4555a63ca602ee279f81713e3f30adfb_starmap_overall_rmse,0,0.0647783828236123,0.0119284591524601,0.0583823679635188,0.0696595541755557,0.0008883131252333,0.0059199579876626,0.001067757521761,0.0326917344579716,0.3711889769043759,0.0133743720634315
