,dataset,Unnamed: 0,CARD,cell2location,DeconRNASeq,DestVI,DWLS,SVR,RCTD,SCDC,SPOTlight,STdeconvolve,SpatialDWLS
0,8dbc6acb6712fee359bf3afe1857c536_starmap_clusters_jsd,B cell,0.2615257107207229,0.165655687247465,0.0188786557555351,0.269835781074917,0.0416964778397521,0.1341479517021423,0.0610156076869038,0.3293419978771252,0.57143123752529,0.41490172381137,0.8325546111576977
1,8dbc6acb6712fee359bf3afe1857c536_starmap_clusters_jsd,alveolar capillary type 1 endothelial cell,0.4959700987107161,0.2647020823405283,0.1276712205424513,0.5480057444924156,0.0583972504241673,0.1421153449561418,0.0400783440227784,0.2582795073066716,0.7006278488059244,0.8325546111576977,
2,8dbc6acb6712fee359bf3afe1857c536_starmap_clusters_jsd,epithelial cell of lung,0.3329225675507487,0.2053682655368149,0.2147760498636793,0.3499890834522749,0.0175959489194129,0.0510211150350227,0.0293659105186383,0.0248824762167606,0.5088727389714105,0.0,0.3505137965067773
3,8dbc6acb6712fee359bf3afe1857c536_starmap_clusters_jsd,fibroblast of lung,0.0328020526120705,0.0161925484612583,0.1149991564884063,0.0419134935438259,0.0023930943382248,0.0223136001256602,0.011205261515404,0.034327008109497,0.0271782594387261,0.2440149226955157,
4,24bc51ffa07c227a8aaab7f616fa7166_starmap_clusters_jsd,B cell,0.2545823112666449,0.1827735979725042,0.0348976432085268,0.3103002641802525,0.0508771670440437,0.1216388062443274,0.0661599301129552,0.2943566889151098,0.5771251153636378,0.41490172381137,0.8325546111576977
5,24bc51ffa07c227a8aaab7f616fa7166_starmap_clusters_jsd,alveolar capillary type 1 endothelial cell,0.4921147416936068,0.2872911516536823,0.1314659650566403,0.4151122053465093,0.0460323074152592,0.1292356170339772,0.0388598105273963,0.2172006203783326,0.7023089481840084,0.8325546111576977,
6,24bc51ffa07c227a8aaab7f616fa7166_starmap_clusters_jsd,epithelial cell of lung,0.3225285179991612,0.2236368607559383,0.2339140644599215,0.3948358496262599,0.0207293284527014,0.0466102132113227,0.0285415402198401,0.0236345173327241,0.5129611993270693,0.0,0.0018539298929992
7,24bc51ffa07c227a8aaab7f616fa7166_starmap_clusters_jsd,fibroblast of lung,0.0305315169748285,0.015837822078337,0.1166386393533382,0.0319034957585346,0.0034049128357582,0.0204502276320632,0.0096722667903762,0.0278252510225573,0.025038999882134,0.2428803273315885,
8,94a0d58229d38a8cfe6af48f0bc9ffe7_starmap_clusters_jsd,B cell,0.2494109550556827,0.1501040411765483,0.0162766731288906,0.2350856034615415,0.0205340218511308,0.1094950397320975,0.0486581483851287,0.2635254275730043,0.5784488435306219,0.4239024499318499,
9,94a0d58229d38a8cfe6af48f0bc9ffe7_starmap_clusters_jsd,alveolar capillary type 1 endothelial cell,0.4992835633370297,0.2628409155373675,0.1148040094084396,0.5074167307725934,0.0434330098683724,0.1393270174685015,0.0356353275007703,0.0305530401305252,0.7035067112694188,0.8325546111576978,
10,94a0d58229d38a8cfe6af48f0bc9ffe7_starmap_clusters_jsd,epithelial cell of lung,0.3200780712673668,0.1793425820373667,0.1918600489413896,0.3631668454278505,0.0172298389063229,0.0513811687116579,0.030525071478533,0.0325731133968167,0.5213414660796845,0.0562262797212286,
11,94a0d58229d38a8cfe6af48f0bc9ffe7_starmap_clusters_jsd,fibroblast of lung,0.0330699656076332,0.0142674672888739,0.1164708948086012,0.005962431603151,0.0015617310883722,0.0302655991705213,0.0108607721895718,0.0191709865099765,0.0245044494103215,0.0057315033918167,
12,4555a63ca602ee279f81713e3f30adfb_starmap_clusters_jsd,B cell,0.2305115606522091,0.1269778446778629,0.0135036685233064,0.3636342941906751,0.0240781287142627,0.0933809462887929,0.0459420631483688,0.2791498292267548,0.5990092151266958,0.0,
13,4555a63ca602ee279f81713e3f30adfb_starmap_clusters_jsd,alveolar capillary type 1 endothelial cell,0.476945412196199,0.1996231243965749,0.1305255589435741,0.4444976459173195,0.0188637455398071,0.1035543260380542,0.0304941146547248,0.1801443911243229,0.7061872169681143,0.205410118112484,
14,4555a63ca602ee279f81713e3f30adfb_starmap_clusters_jsd,epithelial cell of lung,0.3001083721490912,0.1499079648752124,0.2241385878191261,0.3656437847367343,0.0322895750039754,0.0539965447125067,0.0288629599299984,0.0274368645060777,0.5416485264827989,0.0,
15,4555a63ca602ee279f81713e3f30adfb_starmap_clusters_jsd,fibroblast of lung,0.0308033183987136,0.0090315861482511,0.1138009478231008,0.0404751225919324,0.0023974458236178,0.0188651933933565,0.0072676179040867,0.0217634288893333,0.0145022434190219,0.0103749989105622,
16,c456392019d1940e7e699a14aec5bcf6_starmap_clusters_jsd,B cell,0.2491410074776326,0.1350540132558619,0.0163437489565035,0.2430302196748483,0.0077203413419712,0.098854755004397,0.055481832959777,0.2756532100387206,0.5957162065844115,0.8325546111576977,
17,c456392019d1940e7e699a14aec5bcf6_starmap_clusters_jsd,alveolar capillary type 1 endothelial cell,0.4893765713880392,0.2586989137660661,0.1221915940375349,0.6066386182249609,0.0202673274200553,0.1049723219166333,0.0350737031189002,0.1910566261053929,0.7053926757003398,0.5811508391223464,
18,c456392019d1940e7e699a14aec5bcf6_starmap_clusters_jsd,epithelial cell of lung,0.3179395066018645,0.1931490445881996,0.221012677462639,0.2961473750527898,0.0234492311665525,0.044676375568563,0.0258515536289979,0.0136439444495127,0.5446783197022187,0.0072349842758788,
